stop_date,stop_time,country_name,driver_gender,driver_age_raw,driver_age,driver_race,violation_raw,violation,search_conducted,search_type,stop_outcome,is_arrested,stop_duration,drugs_related_stop,vehicle_number
2020-01-01,00:00:00,Canada,M,59,19,Asian,Drunk Driving,Speeding,1,Vehicle Search,Ticket,1,16-30 Min,1,UP76DY3473
2020-01-01,00:01:00,India,M,35,58,Other,Other,Other,0,Vehicle Search,Arrest,1,16-30 Min,1,RJ83PZ4441
2020-01-01,00:02:00,USA,M,26,76,Black,Signal Violation,Speeding,0,Frisk,Ticket,1,16-30 Min,1,RJ32OM7264
2020-01-01,00:03:00,Canada,M,26,76,Black,Speeding,DUI,1,Frisk,Warning,0,0-15 Min,1,RJ76TI3807
2020-01-01,00:04:00,Canada,M,62,75,Other,Speeding,Other,0,Vehicle Search,Arrest,1,16-30 Min,0,WB63BB8305
2020-01-01,00:05:00,Canada,F,44,73,Other,Drunk Driving,Other,1,Vehicle Search,Ticket,0,16-30 Min,0,MH89ZF7676
2020-01-01,00:06:00,USA,F,80,70,White,Signal Violation,Speeding,0,Vehicle Search,Ticket,0,30+ Min,0,KA40AD3153
2020-01-01,00:07:00,India,M,72,50,Asian,Drunk Driving,Other,0,Vehicle Search,Arrest,1,30+ Min,1,DL75KZ7835
2020-01-01,00:08:00,USA,F,80,30,Hispanic,Other,Seatbelt,1,Frisk,Arrest,0,0-15 Min,1,DL50PO5101
2020-01-01,00:09:00,USA,M,43,21,Asian,Signal Violation,Signal,1,Frisk,Warning,1,16-30 Min,0,KA79RD2271
2020-01-01,00:10:00,India,F,66,76,Black,Speeding,Signal,0,Frisk,Ticket,0,30+ Min,1,UP67CQ9426
2020-01-01,00:11:00,Canada,F,58,53,Hispanic,Signal Violation,Signal,0,Vehicle Search,Arrest,1,30+ Min,1,KA61JB1004
2020-01-01,00:12:00,India,M,51,46,Asian,Drunk Driving,Signal,0,Vehicle Search,Ticket,0,16-30 Min,1,WB70IV9884
2020-01-01,00:13:00,USA,M,55,58,Black,Seatbelt,DUI,0,Vehicle Search,Arrest,1,30+ Min,0,WB56XQ8946
2020-01-01,00:14:00,India,M,44,25,Black,Seatbelt,DUI,0,Vehicle Search,Arrest,1,30+ Min,0,GJ67CO6825
2020-01-01,00:15:00,USA,F,65,51,Hispanic,Other,DUI,1,Frisk,Ticket,0,16-30 Min,1,WB75TF1052
2020-01-01,00:16:00,India,M,75,21,Asian,Seatbelt,Speeding,1,Vehicle Search,Arrest,0,16-30 Min,0,UP82DB7554
2020-01-01,00:17:00,Canada,F,44,55,White,Signal Violation,Other,1,Vehicle Search,Warning,1,0-15 Min,1,MH15GS2782
2020-01-01,00:18:00,USA,M,46,71,White,Speeding,Speeding,1,Frisk,Warning,1,16-30 Min,1,MH80WR1351
2020-01-01,00:19:00,Canada,F,42,41,Hispanic,Signal Violation,Signal,0,Frisk,Arrest,0,30+ Min,0,KA12GK6861
2020-01-01,00:20:00,USA,F,76,47,Hispanic,Signal Violation,Signal,0,Frisk,Warning,0,0-15 Min,1,KA78HN8680
2020-01-01,00:21:00,Canada,F,56,25,Black,Other,DUI,1,Frisk,Arrest,0,0-15 Min,0,WB35BJ2947
2020-01-01,00:22:00,USA,F,25,59,Asian,Other,Speeding,0,Frisk,Ticket,1,0-15 Min,1,GJ46IJ2247
2020-01-01,00:23:00,Canada,F,47,60,Black,Signal Violation,Signal,1,Frisk,Arrest,1,0-15 Min,0,GJ24GN5905
2020-01-01,00:24:00,India,M,33,76,Hispanic,Signal Violation,Speeding,0,Frisk,Warning,0,16-30 Min,0,MH83XS7688
2020-01-01,00:25:00,USA,F,18,58,White,Other,Speeding,0,Frisk,Ticket,0,16-30 Min,1,KA95EW9912
2020-01-01,00:26:00,Canada,F,20,56,Asian,Drunk Driving,Other,0,Frisk,Ticket,1,0-15 Min,0,DL36PY9336
2020-01-01,00:27:00,India,F,63,61,Other,Drunk Driving,Signal,1,Vehicle Search,Warning,0,0-15 Min,0,MH17TG9873
2020-01-01,00:28:00,USA,F,71,69,Hispanic,Seatbelt,Seatbelt,0,Vehicle Search,Ticket,1,0-15 Min,0,GJ67TR1208
2020-01-01,00:29:00,USA,M,51,39,Hispanic,Other,Seatbelt,1,Vehicle Search,Arrest,0,30+ Min,1,RJ65DM5842
2020-01-01,00:30:00,USA,M,69,23,Other,Other,Other,1,Vehicle Search,Arrest,0,16-30 Min,1,RJ71DT4429
2020-01-01,00:31:00,USA,F,18,73,Asian,Drunk Driving,Signal,1,Vehicle Search,Warning,0,16-30 Min,0,WB45XD7874
2020-01-01,00:32:00,India,F,44,26,Asian,Other,Signal,0,Frisk,Arrest,1,30+ Min,1,GJ29NI1072
2020-01-01,00:33:00,India,M,44,70,Other,Drunk Driving,Speeding,1,Vehicle Search,Arrest,1,16-30 Min,0,DL50DZ6634
2020-01-01,00:34:00,Canada,M,21,46,Asian,Speeding,Signal,1,Frisk,Warning,0,0-15 Min,0,GJ18QH1179
2020-01-01,00:35:00,USA,M,40,24,Other,Speeding,Signal,0,Frisk,Warning,0,30+ Min,1,DL92KH6072
2020-01-01,00:36:00,Canada,F,56,46,Other,Other,Signal,1,Frisk,Arrest,0,16-30 Min,0,DL97PL3910
2020-01-01,00:37:00,Canada,F,68,64,Hispanic,Speeding,Speeding,1,Vehicle Search,Ticket,0,16-30 Min,1,DL78IQ3578
2020-01-01,00:38:00,Canada,F,29,76,Hispanic,Speeding,Signal,1,Vehicle Search,Arrest,0,0-15 Min,0,RJ86OH2697
2020-01-01,00:39:00,USA,F,28,68,Hispanic,Seatbelt,Signal,1,Frisk,Warning,0,0-15 Min,1,GJ17ED4625
2020-01-01,00:40:00,India,M,77,65,Other,Other,Seatbelt,0,Frisk,Arrest,0,16-30 Min,1,GJ34GW6344
2020-01-01,00:41:00,Canada,M,42,67,Other,Speeding,DUI,0,Frisk,Ticket,0,16-30 Min,0,GJ83AS9833
2020-01-01,00:42:00,USA,M,54,71,Black,Signal Violation,Speeding,0,Frisk,Arrest,0,30+ Min,1,GJ62CZ2524
2020-01-01,00:43:00,USA,M,52,74,White,Drunk Driving,Signal,1,Vehicle Search,Warning,0,16-30 Min,1,TN43VS9229
2020-01-01,00:44:00,India,F,57,61,Other,Speeding,Other,0,Vehicle Search,Warning,0,16-30 Min,0,MH88XZ1430
